Date,Minute,Plant,Forecast_Temp,Forecast_Sky,Power
5/15/2020,0,A,25.18431613,Clear,0
5/15/2020,15,A,25.08458867,Clear,0
5/15/2020,30,A,24.9357526,Clear,0
5/15/2020,45,A,24.8461304,Clear,0
5/15/2020,60,A,24.62152536,Clear,0
5/15/2020,75,A,24.5360922,Clear,0
5/15/2020,90,A,24.63867387,Clear,0
5/15/2020,105,A,24.87302233,Clear,0
5/15/2020,120,A,24.93693047,Clear,0
5/15/2020,135,A,25.0122476,Clear,0
5/15/2020,150,A,25.00514933,Clear,0
5/15/2020,165,A,24.99301953,Clear,0
5/15/2020,180,A,25.01630943,Clear,0
5/15/2020,195,A,24.98521527,Clear,0
5/15/2020,210,A,24.93773193,Clear,0
5/15/2020,225,A,24.87909953,Clear,0
5/15/2020,240,A,24.6789022,Clear,0
5/15/2020,255,A,24.3519308,Clear,0
5/15/2020,270,A,24.0626222,Clear,0
5/15/2020,285,A,24.0132242,Clear,0
5/15/2020,300,A,24.1771058,Clear,0
5/15/2020,315,A,24.304888,Clear,0
5/15/2020,330,A,24.32872727,Clear,0
5/15/2020,345,A,24.28921113,Clear,0
5/15/2020,360,A,24.08844607,Cloudy,0.003893205
5/15/2020,375,A,24.01163527,Cloudy,0.021860414
5/15/2020,390,A,23.97673127,Cloudy,0.049891986
5/15/2020,405,A,24.21899,Clear,0.093516197
5/15/2020,420,A,24.5373984,Clear,0.139401019
5/15/2020,435,A,24.8159595,Cloudy,0.148702348
5/15/2020,450,A,24.98878987,Cloudy,0.146355029
5/15/2020,465,A,25.21618033,Cloudy,0.151001358
5/15/2020,480,A,25.41951307,Cloudy,0.195353919
5/15/2020,495,A,25.95908213,Cloudy,0.320275881
5/15/2020,510,A,26.43078207,Cloudy,0.343252356
5/15/2020,525,A,26.8318298,Cloudy,0.366216444
5/15/2020,540,A,27.6209698,Clear,0.574000624
5/15/2020,555,A,27.98836207,Cloudy,0.235549434
5/15/2020,570,A,27.51672787,Cloudy,0.277249958
5/15/2020,585,A,27.45010767,Cloudy,0.555201015
5/15/2020,600,A,28.63219187,Clear,0.588308741
5/15/2020,615,A,28.76891273,Cloudy,0.435405993
5/15/2020,630,A,29.3514426,Cloudy,0.364700286
5/15/2020,645,A,28.85470787,Cloudy,0.344197477
5/15/2020,660,A,29.41081933,Cloudy,0.532666752
5/15/2020,675,A,30.21606229,Cloudy,0.413902322
5/15/2020,690,A,30.2870728,Cloudy,0.560750349
5/15/2020,705,A,30.81104933,Cloudy,0.587214977
5/15/2020,720,A,31.30537507,Cloudy,0.475706797
5/15/2020,735,A,31.50729773,Cloudy,0.625878232
5/15/2020,750,A,32.14768473,Cloudy,0.700028738
5/15/2020,765,A,32.3914204,Cloudy,0.641607127
5/15/2020,780,A,32.62279607,Cloudy,0.447157452
5/15/2020,795,A,32.49706447,Cloudy,0.491780048
5/15/2020,810,A,32.5246214,Cloudy,0.574989099
5/15/2020,825,A,32.67847087,Cloudy,0.549423761
5/15/2020,840,A,33.7631854,Clear,0.7253067
5/15/2020,855,A,34.13076993,Clear,0.854538067
5/15/2020,870,A,34.08138427,Cloudy,0.546878251
5/15/2020,885,A,33.69572221,Cloudy,0.504513789
5/15/2020,900,A,33.89057607,Cloudy,0.376036784
5/15/2020,915,A,34.043744,Cloudy,0.542041164
5/15/2020,930,A,34.40285233,Clear,0.545794397
5/15/2020,945,A,34.43094267,Cloudy,0.342720958
5/15/2020,960,A,34.38115033,Clear,0.337633655
5/15/2020,975,A,34.12625693,Clear,0.309197031
5/15/2020,990,A,34.35660993,Clear,0.317734088
5/15/2020,1005,A,33.86159653,Clear,0.235856629
5/15/2020,1020,A,33.44331357,Cloudy,0.150198686
5/15/2020,1035,A,33.30025473,Clear,0.153621189
5/15/2020,1050,A,33.0321222,Cloudy,0.081609902
5/15/2020,1065,A,32.31187113,Cloudy,0.037215225
5/15/2020,1080,A,31.13241364,Cloudy,0.021612676
5/15/2020,1095,A,29.24311093,Cloudy,0.008428052
5/15/2020,1110,A,28.495518,Cloudy,0
5/15/2020,1125,A,27.8840638,Cloudy,0
5/15/2020,1275,A,22.1193604,Clear,0
5/15/2020,1290,A,22.22125033,Clear,0
5/15/2020,1305,A,22.23682847,Clear,0
5/15/2020,1320,A,22.22185843,Clear,0
5/15/2020,1335,A,22.14931253,Clear,0
5/15/2020,1350,A,22.10471387,Clear,0
5/15/2020,1365,A,22.05707993,Clear,0
5/15/2020,1380,A,22.23601831,Clear,0
5/16/2020,135,A,21.6884114,Clear,0
5/16/2020,150,A,21.51040853,Clear,0
5/16/2020,165,A,21.496287,Clear,0
5/16/2020,180,A,21.6459126,Clear,0
5/16/2020,195,A,21.6743142,Clear,0
5/16/2020,210,A,21.73142093,Clear,0
5/16/2020,225,A,21.78016573,Clear,0
5/16/2020,240,A,21.85855536,Clear,0
5/16/2020,255,A,21.89991073,Clear,0
5/16/2020,270,A,21.92704853,Clear,0
5/16/2020,285,A,22.0286844,Clear,0
5/16/2020,300,A,21.93278,Clear,0
5/16/2020,315,A,21.86625167,Clear,0
5/16/2020,330,A,21.87658507,Clear,0
5/16/2020,345,A,21.95998927,Cloudy,0
5/16/2020,360,A,21.9232375,Cloudy,0.005003072
5/16/2020,375,A,21.8604004,Cloudy,0.025209834
5/16/2020,390,A,21.98583367,Cloudy,0.051643495
5/16/2020,405,A,22.13967073,Clear,0.082566171
5/16/2020,420,A,22.45271393,Cloudy,0.111135334
5/16/2020,435,A,22.6524518,Cloudy,0.141742144
5/16/2020,450,A,22.97513853,Cloudy,0.178153459
5/16/2020,465,A,23.38855407,Cloudy,0.248714239
5/16/2020,480,A,23.8905234,Cloudy,0.307997978
5/16/2020,495,A,24.42785433,Cloudy,0.353015716
5/16/2020,510,A,25.16689847,Clear,0.434592173
5/16/2020,525,A,25.75717567,Clear,0.47440741
5/16/2020,540,A,25.99942227,Cloudy,0.475498697
5/16/2020,555,A,26.29700733,Cloudy,0.420136652
5/16/2020,570,A,26.59366867,Cloudy,0.428299624
5/16/2020,585,A,27.03096947,Cloudy,0.567020602
5/16/2020,600,A,27.61135453,Cloudy,0.516841239
5/16/2020,615,A,27.93121329,Cloudy,0.529172406
5/16/2020,630,A,28.2829874,Cloudy,0.68721572
5/16/2020,645,A,28.78232633,Cloudy,0.634378128
5/16/2020,660,A,29.1554974,Cloudy,0.613340204
5/16/2020,675,A,29.3643758,Cloudy,0.574257033
5/16/2020,690,A,29.6892496,Cloudy,0.480849841
5/16/2020,705,A,29.8473918,Cloudy,0.616303152
5/16/2020,720,A,30.08986207,Cloudy,0.665547303
5/16/2020,735,A,30.37689871,Cloudy,0.569183356
5/16/2020,750,A,30.8864686,Clear,0.762131737
5/16/2020,765,A,31.2210448,Clear,0.816237749
5/16/2020,780,A,31.31397713,Cloudy,0.602276218
5/16/2020,795,A,31.66299653,Clear,0.740776709
5/16/2020,810,A,31.61725667,Cloudy,0.576385104
5/16/2020,825,A,31.3661072,Cloudy,0.474002358
5/16/2020,840,A,31.42362873,Cloudy,0.437989902
5/16/2020,855,A,31.98976833,Clear,0.620881353
5/16/2020,870,A,32.24326421,Cloudy,0.532918207
5/16/2020,885,A,32.3501976,Cloudy,0.495020463
5/16/2020,900,A,32.43687973,Cloudy,0.499905859
5/16/2020,915,A,32.52414947,Cloudy,0.429379763
5/16/2020,930,A,32.3280254,Cloudy,0.365631782
5/16/2020,945,A,32.10339147,Cloudy,0.274908832
5/16/2020,960,A,32.02910173,Cloudy,0.242228454
5/16/2020,975,A,31.9597596,Cloudy,0.206773409
5/16/2020,990,A,31.90710457,Cloudy,0.185981984
5/16/2020,1005,A,31.88745533,Cloudy,0.15841616
5/16/2020,1020,A,31.74708247,Cloudy,0.140467531
5/16/2020,1035,A,31.54080187,Cloudy,0.114194901
5/16/2020,1050,A,31.30016687,Cloudy,0.083933685
5/16/2020,1065,A,31.0485982,Cloudy,0.053932595
5/16/2020,1080,A,30.31168413,Cloudy,0.028113325
5/16/2020,1095,A,29.54822573,Cloudy,0.009459881
5/16/2020,1110,A,28.97306333,Cloudy,0
5/16/2020,1125,A,28.6859842,Cloudy,0
5/16/2020,1140,A,28.31019579,Cloudy,0
5/16/2020,1155,A,27.9578898,Cloudy,0
5/16/2020,1170,A,27.57085773,Cloudy,0
5/16/2020,1185,A,27.256431,Cloudy,0
5/16/2020,1200,A,26.9411986,Clear,0
5/16/2020,1215,A,26.70199373,Clear,0
5/16/2020,1230,A,26.483793,Clear,0
5/16/2020,1245,A,26.31202486,Clear,0
5/16/2020,1260,A,26.0082478,Clear,0
5/16/2020,1275,A,25.61655473,Clear,0
5/16/2020,1290,A,25.28644193,Clear,0
5/16/2020,1305,A,25.1239094,Clear,0
5/16/2020,1320,A,25.0534728,Clear,0
5/16/2020,1335,A,24.8400106,Clear,0
